"url","address","capital_value","land_value","improvement_value","price","price_on","decade_built","category_type","building_construction","building_condition","num_bedrooms","bath_estimate","num_bathrooms","bed_estimate","floor_area","land_area","has_deck","contour","suburb_name","view_scope","view_type","lat","lng","distance_total_transit","distance_walking_transit","duration_transit","distance_total_driving","distance_walking_driving","duration_driving","distance_total_bicycling","distance_walking_bicycling","duration_bicycling","distance_total_supermarket","duration_supermarket"
"","<redacted>",767000,333000,431000,916000,"2017-03-09 00:00:00",1920,"house","WI","AF",NULL,2,NULL,4,210,470,0,"steep_rise","Kilbirnie","slight","other",-41.32062009611748,174.79207458513798,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"","<redacted>",554000,205000,354000,666000,"2017-03-11 00:00:00",1930,"house","WI","AA",NULL,2,NULL,3,178,325,1,"steep_fall","Northland","moderate","other",-41.285681779069,174.76260119780494,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"","<redacted>",529000,146000,381000,376000,"2017-03-14 00:00:00",1990,"house","WI","AA",3,1,NULL,3,160,1164,1,"easy_to_moderate_fall","Stokes valley","moderate","other",-41.19039010162531,174.98280513272627,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"","<redacted>",665000,179000,487000,848000,"2017-03-07 00:00:00",2000,"house","XT","GG",4,2,NULL,4,260,284,1,"easy_to_moderate_fall","Paparangi","moderate","other",-41.21568740078052,174.81057108261783,12935,673,2846,12935,673,2846,12935,673,2846,12935,2846
"","<redacted>",568000,196000,370000,229000,"2017-03-07 00:00:00",2010,"townhouse","WI","GG",3,2,0,3,146,192,0,"level","Churton park","none","none",-41.20498063833749,174.80733157751524,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"","<redacted>",397000,99000,302000,601000,"2017-03-07 00:00:00",2010,"house","WI","GG",2,1,NULL,3,86,332,0,"level","Brooklyn","none","none",-41.3102643506506,174.76267259684477,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"","<redacted>",520000,194000,320000,700000,"2017-03-07 00:00:00",1970,"house","WI","AA",NULL,2,NULL,4,180,660,1,"easy_to_moderate_fall","Kingston","moderate","other",-41.32040833978103,174.76381317118114,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"","<redacted>",573000,226000,350000,845000,"2017-03-14 00:00:00",1900,"house","WI","GA",3,1,NULL,3,100,276,1,"level","Berhampore","none","none",-41.31992252065497,174.7727225081883,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"","<redacted>",501000,307000,202000,687000,"2017-03-10 00:00:00",1980,"house","WT","GG",NULL,2,NULL,3,150,438,1,"steep_rise","Northland","slight","other",-41.28488048060425,174.7515707764133,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"","<redacted>",436000,166000,283000,496500,"2017-03-12 00:00:00",1900,"house","XT","GG",NULL,1,NULL,2,70,109,0,"steep_rise","Berhampore","moderate","other",-41.321035125567676,174.7827037874132,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"","<redacted>",586000,371000,230000,724000,"2017-03-16 00:00:00",NULL,"house","WI","GG",NULL,1,NULL,3,110,332,1,"easy_to_moderate_fall","Mount cook","moderate","other",-41.29538242939515,174.7653609954808,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"","<redacted>",582000,332000,261000,920000,"2017-03-18 00:00:00",1920,"house","WF","GA",NULL,1,NULL,3,120,506,0,"level","Island bay","none","none",-41.330959727909374,174.77657679146233,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"","<redacted>",534000,274000,269000,680000,"2017-03-16 00:00:00",1920,"house","WI","AA",NULL,1,NULL,3,110,518,1,"steep_rise","Kelburn","moderate","other",-41.28967888682416,174.75589852496844,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"","<redacted>",522000,242000,286000,773650,"2017-03-16 00:00:00",1900,"house","WI","AA",2,1,NULL,3,81,311,1,"easy_to_moderate_rise","Berhampore","moderate","other",-41.318890508877935,174.780858358189,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"","<redacted>",782000,268000,523000,822000,"2017-03-21 00:00:00",1950,"house","WT","GG",NULL,2,NULL,4,210,503,1,"easy_to_moderate_fall","Island bay","moderate","other",-41.32977919485282,174.7729046302399,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"","<redacted>",397000,175000,232000,577000,"2017-03-20 00:00:00",1940,"house","WF","GF",NULL,1,NULL,3,100,652,0,"steep_rise","Karori",NULL,"other",-41.27907593052639,174.72634319776913,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"","<redacted>",811000,513000,309000,1207000,"2017-03-22 00:00:00",1920,"house","WI","GA",3,2,NULL,4,190,500,1,"level","Karori","none","none",-41.28112678760679,174.74249499516617,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"","<redacted>",518000,250000,275000,611000,"2017-03-20 00:00:00",1900,"house","XI","GA",3,1,NULL,3,100,239,1,"level","Newtown","none","none",-41.309799349502455,174.78666473606975,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"","<redacted>",518000,263000,250000,673000,"2017-03-14 00:00:00",1950,"house","WI","AG",NULL,1,NULL,3,100,809,0,"steep_rise","Houghton bay",NULL,"water",-41.34500138146467,174.78658876483084,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"","<redacted>",827000,313000,516000,1213000,"2017-03-16 00:00:00",1910,"house","WI","GG",NULL,2,NULL,4,171,636,1,"level","Highbury","none","none",-41.29507383495065,174.75856098772408,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"","<redacted>",549000,228000,324000,636000,"2017-03-14 00:00:00",1960,"house","WT","AA",NULL,1,NULL,3,140,491,1,"level","Vogeltown","none","none",-41.313860096765545,174.77179141274095,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"","<redacted>",625000,343000,289000,962000,"2017-03-13 00:00:00",1900,"house","WI","AA",NULL,2,NULL,3,130,363,1,"level","Hataitai","none","none",-41.3052897500181,174.7954867035824,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"","<redacted>",500000,155000,352000,682000,"2017-03-23 00:00:00",1960,"house","WI","GG",NULL,2,NULL,3,150,607,1,"steep_rise","Mornington","moderate","other",-41.32069932774116,174.7684024141918,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"","<redacted>",558000,317000,243000,875000,"2017-03-18 00:00:00",1900,"house","WI","AA",NULL,2,NULL,3,149,379,0,"easy_to_moderate_rise","Newtown","slight","other",-41.31365154101336,174.78256099815286,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"","<redacted>",675000,202000,474000,744000,"2017-03-26 00:00:00",1960,"house","WT","AA",NULL,2,NULL,4,240,912,1,"easy_to_moderate_fall","Karori","moderate","other",-41.290991765593645,174.74649489964233,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"","<redacted>",522000,386000,142000,601000,"2017-03-26 00:00:00",1930,"house","BI","GG",NULL,1,NULL,3,110,477,0,"easy_to_moderate_fall","Northland","moderate","other",-41.27889879712915,174.7582449699598,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"","<redacted>",557000,215000,344000,655000,"2017-03-26 00:00:00",1930,"house","XI","AG",4,2,NULL,3,130,464,1,"steep_rise","Houghton bay",NULL,"water",-41.33483088594845,174.78588029352503,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"","<redacted>",875000,409000,473000,1368000,"2017-03-27 00:00:00",1930,"house","WI","AA",NULL,3,NULL,4,230,886,1,"easy_to_moderate_fall","Karori","none","none",-41.287900333543504,174.73753263606284,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"","<redacted>",354000,145000,205000,430000,"2017-03-20 00:00:00",1980,"house","WI","AA",NULL,1,NULL,3,120,714,1,"easy_to_moderate_fall","Stokes valley",NULL,"other",-41.15860325266624,174.9890674883133,32806,686,4747,32806,686,4747,32806,686,4747,32806,4747
"","<redacted>",530000,213000,323000,607000,"2017-03-24 00:00:00",1930,"house","WI","AA",NULL,1,NULL,3,130,551,1,"easy_to_moderate_rise","Mornington","moderate","water",-41.318149931139594,174.7685708520006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"","<redacted>",675000,311000,360000,928000,"2017-03-27 00:00:00",1930,"house","WT","AA",3,2,NULL,3,130,506,1,"level","Karori","none","none",-41.29019145246341,174.73761345366722,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"","<redacted>",498000,166000,337000,769000,"2017-03-25 00:00:00",1910,"house","WI","AA",NULL,1,NULL,3,120,669,1,"steep_fall","Mornington","moderate","other",-41.316612133565876,174.7678579065274,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"","<redacted>",550000,320000,236000,845150,"2017-03-25 00:00:00",1930,"house","WI","AA",NULL,1,NULL,3,120,594,1,"level","Karori","none","none",-41.28439636514148,174.74084408160607,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"","<redacted>",538000,235000,309000,840000,"2017-03-22 00:00:00",1940,"house","WT","GG",NULL,2,NULL,3,130,541,1,"level","Karori","none","none",-41.28924367616363,174.72847817686673,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"","<redacted>",648000,276000,376000,850000,"2017-03-24 00:00:00",1950,"house","WI","AA",NULL,3,NULL,4,250,693,0,"easy_to_moderate_fall","Island bay","moderate","other",-41.345754246077824,174.76547516134627,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"","<redacted>",587000,313000,285000,770000,"2017-03-24 00:00:00",1980,"house","FT","AA",3,1,NULL,3,90,802,1,"easy_to_moderate_fall","Southgate",NULL,"water",-41.34361905796327,174.7772669676567,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"","<redacted>",431000,193000,244000,567000,"2017-03-27 00:00:00",1910,"house","WF","AA",NULL,1,NULL,3,100,278,1,"level","Kilbirnie","none","none",-41.3205695775566,174.79917266533388,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"","<redacted>",606000,346000,264000,834065,"2017-03-24 00:00:00",1900,"house","WI","GG",NULL,1,NULL,3,120,405,1,"easy_to_moderate_fall","Northland","moderate","other",-41.27799840160077,174.75707131501278,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"","<redacted>",904000,306000,595000,1408000,"2017-03-29 00:00:00",1920,"house","CT","AG",4,3,NULL,4,231,428,1,"level","Island bay","moderate","water",-41.34264971901912,174.76724314814723,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"","<redacted>",584000,362000,230000,862000,"2017-03-30 00:00:00",1920,"house","BI","GG",NULL,1,NULL,3,130,308,0,"easy_to_moderate_rise","Mount cook","none","none",-41.30132417413443,174.77108992741373,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"","<redacted>",632000,336000,302000,744000,"2017-03-31 00:00:00",1970,"house","WI","AA",NULL,1,NULL,3,110,741,1,"level","Owhiro bay",NULL,"water",-41.344737605814736,174.75365614946747,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"","<redacted>",475000,211000,271000,636000,"2017-03-29 00:00:00",1950,"house","RT","AA",3,2,NULL,3,143,569,0,"level","Karori","none","none",-41.28464594772944,174.73404681335472,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"","<redacted>",592000,313000,289000,687000,"2017-04-02 00:00:00",1900,"house","WI","GG",4,1,NULL,3,100,283,0,"level","Newtown","none","none",-41.316101795205064,174.7817213647004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"","<redacted>",782000,211000,577000,1058000,"2017-03-26 00:00:00",2010,"house","WI","GG",4,3,0,5,245,469,0,"level","Churton park","none","none",-41.196797584828694,174.81058899361605,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"","<redacted>",444000,176000,276000,461000,"2017-04-02 00:00:00",1970,"house","WI","AA",3,2,NULL,4,188,825,1,"level","Stokes valley","slight","other",-41.189211859644104,174.98260180433218,30932,455,4063,30932,455,4063,30932,455,4063,30932,4063
"","<redacted>",806000,434000,384000,1082000,"2017-03-27 00:00:00",1900,"house","WI","GG",4,2,NULL,4,190,620,1,"easy_to_moderate_fall","Newtown","none","none",-41.313832323437886,174.7763088824156,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"","<redacted>",623000,320000,308000,871500,"2017-03-26 00:00:00",1930,"house","WT","GA",NULL,2,NULL,3,150,510,1,"level","Karori","none","none",-41.292410355288936,174.7393896823738,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"","<redacted>",636000,257000,384000,893000,"2017-04-05 00:00:00",1930,"house","WI","GG",NULL,2,NULL,3,150,472,1,"easy_to_moderate_rise","Brooklyn","moderate","other",-41.31458605140238,174.76259970877257,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"","<redacted>",525000,211000,320000,757000,"2017-04-02 00:00:00",1950,"house","WT","AA",NULL,2,NULL,3,150,569,0,"easy_to_moderate_rise","Karori","moderate","other",-41.290856439620214,174.72808241477028,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"","<redacted>",583000,261000,335000,747350,"2017-04-01 00:00:00",1980,"house","SI","GG",NULL,2,NULL,3,130,471,1,"level","Island bay","none","none",-41.337741486082976,174.77269877047297,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"","<redacted>",539000,252000,282000,907000,"2017-03-30 00:00:00",1960,"house","AI","AA",NULL,2,NULL,3,130,506,1,"level","Island bay","moderate","other",-41.33934117403802,174.77205851208484,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"","<redacted>",542000,227000,318000,743000,"2017-04-04 00:00:00",1920,"house","WI","GG",NULL,2,NULL,3,141,639,1,"steep_rise","Wadestown","moderate","other",-41.260086777843796,174.77186996586846,6945,564,1924,6945,564,1924,6945,564,1924,6945,1924
"","<redacted>",512000,332000,185000,800000,"2017-04-03 00:00:00",1920,"house","WI","AF",NULL,2,NULL,3,130,501,0,"level","Lyall bay","none","none",-41.32757459837094,174.79310968967695,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"","<redacted>",977000,444000,538000,903000,"2017-03-28 00:00:00",1930,"house","WT","AG",NULL,2,NULL,4,200,1031,1,"easy_to_moderate_fall","Hataitai","moderate","water",-41.30052740398202,174.80041050917663,3679,588,1228,3679,588,1228,3679,588,1228,3679,1228
"","<redacted>",811000,286000,526000,933000,"2017-04-05 00:00:00",1990,"house","WT","GG",NULL,2,NULL,5,240,732,1,"easy_to_moderate_rise","Island bay",NULL,"water",-41.346543728256336,174.7595342383601,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"","<redacted>",877000,269000,607000,706000,"2017-04-06 00:00:00",1990,"house","RM","GG",4,2,NULL,4,210,307,1,NULL,"Kelburn",NULL,NULL,-41.289970249034475,174.75615524586323,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"","<redacted>",928000,397000,532000,1120000,"2017-04-03 00:00:00",1930,"house","WT","AA",4,2,NULL,4,210,894,1,"level","Island bay","none","none",-41.3365870827333,174.7662153743161,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"","<redacted>",520000,191000,343000,554000,"2017-04-07 00:00:00",NULL,"house","WI","GG",NULL,1,NULL,3,90,214,0,"easy_to_moderate_fall","Berhampore","none","none",-41.31801693693921,174.77567354195435,3772,206,796,3772,206,796,3772,206,796,3772,796
"","<redacted>",827000,544000,287000,1105000,"2017-04-11 00:00:00",1940,"house","WT","GA",NULL,2,NULL,4,210,789,1,"easy_to_moderate_fall","Karori","none","none",-41.284959173233425,174.74126170430344,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"","<redacted>",398000,162000,236000,552000,"2017-04-11 00:00:00",1900,"house","XI","AF",NULL,1,NULL,2,55,111,0,"level","Berhampore","none","none",-41.327714834435945,174.78099947207866,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"","<redacted>",713000,302000,419000,1173500,"2017-04-04 00:00:00",1910,"house","WX","GA",NULL,2,NULL,3,160,422,1,"easy_to_moderate_fall","Northland","slight","water",-41.28378380160113,174.76072059323064,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"","<redacted>",624000,232000,396000,973000,"2017-04-06 00:00:00",1900,"house","WI","AA",NULL,2,NULL,3,170,225,0,"level","Newtown","none","none",-41.3076781853373,174.78085684886133,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"","<redacted>",891000,333000,570000,1335000,"2017-04-08 00:00:00",1900,"house","WI","GA",NULL,2,NULL,4,173,610,1,"easy_to_moderate_rise","Island bay","slight","other",-41.33859361923013,174.77552864068792,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"","<redacted>",380000,136000,250000,546000,"2017-04-10 00:00:00",1960,"house","WC","AA",NULL,1,NULL,3,97,738,0,"easy_to_moderate_rise","Brooklyn","none","none",-41.32363726389862,174.75567278813213,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"","<redacted>",645000,348000,304000,981000,"2017-04-06 00:00:00",1920,"house","WI","AG",NULL,2,NULL,3,140,403,1,"easy_to_moderate_rise","Newtown","slight","other",-41.31760657070027,174.78980086216941,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"","<redacted>",667000,299000,373000,957000,"2017-04-04 00:00:00",1900,"house","XX","AA",3,1,NULL,3,115,314,1,"level","Newtown","none","none",-41.30871562042943,174.78090893776007,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"","<redacted>",826000,376000,452000,1026000,"2017-04-04 00:00:00",1920,"house","WI","GA",NULL,2,NULL,4,170,509,1,"easy_to_moderate_fall","Karori","none","none",-41.2828649258743,174.74563102956384,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"","<redacted>",429000,219000,220000,549000,"2017-04-04 00:00:00",1900,"house","WI","FF",NULL,1,NULL,2,70,220,0,"level","Newtown","none","none",-41.31122234397301,174.7809041287054,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"","<redacted>",798000,559000,249000,1126000,"2017-04-08 00:00:00",1890,"house","WI","GG",NULL,1,NULL,3,120,405,1,"level","Mount victoria","none","none",-41.301469571601125,174.7859235065303,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"","<redacted>",552000,204000,354000,688000,"2017-04-10 00:00:00",1980,"house","FI","AA",NULL,1,NULL,3,100,509,1,"steep_rise","Houghton bay",NULL,"other",-41.3304535443198,174.79159195306326,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"","<redacted>",393000,164000,244000,517000,"2017-04-15 00:00:00",1900,"townhouse","WI","GA",2,1,NULL,2,70,202,0,"level","Petone","none","none",-41.220481307594085,174.87655127685161,14317,1198,2502,14317,1198,2502,14317,1198,2502,14317,2502
"","<redacted>",765000,250000,524000,1027100,"2017-04-10 00:00:00",2010,"house","XI","GG",4,2,NULL,4,185,491,1,"level","Karori","slight","other",-41.2881441278751,174.72342508492343,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"","<redacted>",579000,307000,267000,746000,"2017-04-13 00:00:00",1960,"house","XT","AA",NULL,2,NULL,3,140,481,1,"level","Island bay","moderate","water",-41.34591403951691,174.77013288077396,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"","<redacted>",584000,248000,336000,851000,"2017-04-15 00:00:00",1900,"house","WI","FA",4,2,NULL,3,130,516,1,"steep_fall","Aro valley","slight","water",-41.29813815681452,174.7612019345702,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"","<redacted>",464000,234000,239000,689000,"2017-04-17 00:00:00",1930,"house","WI","AA",NULL,1,NULL,3,100,255,1,"level","Berhampore","none","none",-41.326315896526765,174.76731601726536,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"","<redacted>",735000,274000,457000,592200,"2017-04-14 00:00:00",1940,"house","BT","AA",3,1,NULL,3,120,557,1,"level","Boulcott","none","none",-41.20046774564523,174.9369707343438,21503,769,3149,21503,769,3149,21503,769,3149,21503,3149
"","<redacted>",358000,193000,161000,419000,"2017-04-18 00:00:00",1940,"house","AT","AG",3,1,NULL,3,112,687,0,"level","Taita","moderate","other",-41.186880280475975,174.9496203537403,24094,1079,3430,24094,1079,3430,24094,1079,3430,24094,3430
"","<redacted>",440000,240000,201000,615850,"2017-04-18 00:00:00",1920,"house","WI","AA",NULL,1,NULL,3,80,570,0,"steep_rise","Karori","slight","other",-41.292149064948944,174.73790657313594,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
